Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,21.0,1241.315987006598,59.11028509527082,21.0
21,1.0,4350.0,70.0,14.0,788.1249830468032,56.29464164579812,14.0
21,2.0,3000.0,90.0,30.0,1608.6208009487723,53.620693364780344,30.0
21,3.0,2400.0,110.0,1.0,194.29768467453096,194.2976846551012,0.32051629920502683
21,4.0,4800.0,60.0,17.0,1374.956780504393,80.87981061742971,9.355589780276457
21,5.0,2000.0,130.0,4.0,599.636267871769,149.90906696419452,3.008090469603279
21,6.0,2050.0,120.0,49.0,2049.95873893999,41.835892631342986,49.0
21,7.0,3500.0,80.0,57.0,2361.55875576078,41.430855364151526,57.0
21,8.0,4600.0,70.0,20.0,786.111105735441,39.305555286575526,20.0
21,9.0,2000.0,130.0,42.0,1772.6203615039037,42.20524670237341,42.0
21,10.0,2800.0,100.0,2.0,260.4968404517185,130.24842021934685,1.1789219852366308
21,11.0,2350.0,110.0,4.0,205.23132994321486,51.30783248452102,4.0
21,12.0,2050.0,120.0,4.0,133.59213950184585,33.39803487462651,4.0
21,13.0,2900.0,90.0,10.0,922.3306576339623,92.2330657624739,9.521639396133022
21,14.0,4750.0,60.0,37.0,2198.1123600651035,59.40844216376115,37.0
21,15.0,3450.0,80.0,1.0,313.64136202688724,313.6413619955231,0.06505988806367187
21,16.0,2000.0,130.0,20.0,1036.2939892756003,51.814699463520945,20.0
21,17.0,3500.0,80.0,30.0,1592.407885481566,53.0802628492086,30.0
21,18.0,2200.0,110.0,18.0,1127.354202463167,62.63078902538356,18.0
21,19.0,2700.0,100.0,17.0,871.0548348900666,51.238519699114285,17.0
21,20.0,3100.0,90.0,4.0,135.70735550392737,33.926838875133676,4.0
21,21.0,2100.0,120.0,38.0,2099.950810579158,55.2618634361482,38.0
21,22.0,4850.0,60.0,7.0,455.6258220255486,65.0894031455771,5.948123298396207
21,23.0,4100.0,70.0,14.0,1060.0234076519746,75.71595768888592,11.966007644871947
21,24.0,2000.0,120.0,23.0,1180.041375031821,51.30614674029089,23.0
21,25.0,4800.0,60.0,2.0,208.7400297922868,104.3700148909249,0.6609688696954114
21,26.0,3050.0,90.0,6.0,321.9769559501601,53.66282599079897,6.0
21,27.0,4250.0,70.0,1.0,61.89708254839297,61.897082542203265,1.0
21,28.0,2850.0,100.0,36.0,1900.7215104402412,52.79781973430448,36.0
21,29.0,2250.0,110.0,11.0,890.5649265934335,80.96044787139431,11.0
21,30.0,2000.0,130.0,1.0,75.89936985188388,75.89936984429394,1.0
21,31.0,3900.0,80.0,38.0,1849.5325644963514,48.67190959188116,38.0
21,32.0,2000.0,120.0,41.0,1999.985951885002,48.780145167807895,41.0
21,33.0,3250.0,90.0,71.0,3249.9690074568352,45.77421137256701,71.0
21,34.0,4450.0,70.0,9.0,690.0514716502576,76.67238573806559,7.501716292177337
21,35.0,3550.0,80.0,80.0,3549.9870811927312,44.37483851485367,80.0
21,36.0,2700.0,100.0,56.0,2699.999567362172,48.21427798852412,56.0
21,37.0,2100.0,110.0,6.0,668.319450677239,111.38657511101673,5.851549989942166
21,38.0,4650.0,60.0,96.0,4541.698776836276,47.30936225866193,96.0
21,39.0,2000.0,130.0,28.0,1534.5030675412856,54.80368098342162,28.0
21,40.0,3400.0,90.0,3.0,136.82917512565018,45.60972504036307,3.0
21,41.0,2650.0,100.0,20.0,1002.605380910031,50.130269045250905,20.0
21,42.0,2300.0,110.0,45.0,2270.3965023390283,50.453255607421845,45.0
21,43.0,4100.0,80.0,9.0,457.90066404781965,50.87785156030354,9.0
21,44.0,4800.0,60.0,5.0,330.9759679367344,66.19519358602297,4.107897437157312
21,45.0,4450.0,70.0,17.0,967.5537921575087,56.914928950106905,17.0
21,46.0,2000.0,130.0,15.0,502.43970002949686,33.49598000174315,15.0
21,47.0,2050.0,120.0,21.0,1193.717124498279,56.84367259488546,21.0
22,0.0,2900.0,100.0,3.0,65.47816604949003,21.826055349102475,3.0
22,1.0,4350.0,70.0,5.0,683.330541856918,136.66610836865027,1.311729931844713
22,2.0,3000.0,90.0,1.0,25.44793132136465,25.447931318819855,1.0
22,3.0,2400.0,110.0,0.0,21.56633618999149,215663361899.9149,0.0
22,4.0,4800.0,60.0,6.0,504.24255112498304,84.0404251860965,3.0582801732620415
22,5.0,2000.0,130.0,1.0,153.07899859666804,153.07899858136014,0.7211996041256866
22,6.0,2050.0,120.0,1.0,51.43423975108317,51.43423974593974,1.0
22,7.0,3500.0,80.0,4.0,359.6617270089059,89.9154317499786,3.1664417076966673
22,8.0,4600.0,70.0,69.0,4174.398182555347,60.49852438477242,69.0
22,9.0,2000.0,130.0,42.0,1999.947156901152,47.617789449914056,42.0
22,10.0,2800.0,100.0,26.0,1514.720908758586,58.25849649049078,26.0
22,11.0,2350.0,110.0,30.0,2349.966528501839,78.33221761646686,30.0
22,12.0,2050.0,120.0,21.0,1300.745262424984,61.94025059137096,21.0
22,13.0,2900.0,90.0,46.0,2838.837726925928,61.71386362869036,46.0
22,14.0,4750.0,60.0,75.0,3749.9859862659005,49.999813150145336,75.0
22,15.0,3450.0,80.0,58.0,3334.977128736878,57.49960566777807,58.0
22,16.0,2000.0,130.0,5.0,650.336527968522,130.06730559110304,4.994826664804631
22,17.0,3500.0,80.0,3.0,308.58683223233356,102.86227740734911,1.8146336400318037
22,18.0,2200.0,110.0,19.0,1197.3184214029607,63.0167590208768,19.0
22,19.0,2700.0,100.0,10.0,464.5960250599328,46.459602505528686,10.0
22,20.0,3100.0,90.0,6.0,314.9268282534522,52.4878047080339,6.0
22,21.0,2100.0,120.0,10.0,589.2725892792143,58.92725892733216,10.0
22,22.0,4850.0,60.0,4.0,433.82597938865183,108.45649484445154,1.2241971468054123
22,23.0,4100.0,70.0,31.0,1346.032690429302,43.4204093685471,31.0
22,24.0,2000.0,120.0,1.0,180.61119713696644,180.61119711890532,0.44144149068016075
