Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,45.0,2899.9305438588485,64.44290097449787,45.0
21,1.0,4350.0,70.0,18.0,2394.1901340784416,133.01056300361893,4.985357668055071
21,2.0,3000.0,90.0,31.0,2999.977338381226,96.77346252811448,26.812305072078292
21,3.0,2400.0,110.0,16.0,1065.1487561548522,66.5717972592622,16.0
21,4.0,4800.0,60.0,55.0,4568.001094408928,83.05456535273859,28.703719059009895
21,5.0,2000.0,130.0,24.0,1911.8912883226672,79.66213701311254,24.0
21,6.0,2050.0,120.0,40.0,2049.953901317378,51.24884753280632,40.0
21,7.0,3500.0,80.0,55.0,3499.9117791328295,63.6347596204812,55.0
21,8.0,4600.0,70.0,33.0,2988.801134612215,90.56973135161084,19.71259779200949
21,9.0,2000.0,130.0,30.0,1999.997016018101,66.66656720038115,30.0
21,10.0,2800.0,100.0,10.0,1084.1835179045122,108.41835178936704,8.507351922490177
21,11.0,2350.0,110.0,12.0,1138.4621587173065,94.87184655898494,12.0
21,12.0,2050.0,120.0,19.0,1291.52030208994,67.97475274121804,19.0
21,13.0,2900.0,90.0,41.0,2784.443716115042,67.91326136849392,41.0
21,14.0,4750.0,60.0,72.0,4749.969079203467,65.9717927666232,59.55502688474115
21,15.0,3450.0,80.0,13.0,1154.9544607690295,88.84265082770348,10.540963506346113
21,16.0,2000.0,130.0,26.0,1999.9694065842646,76.9219002529451,26.0
21,17.0,3500.0,80.0,53.0,3499.9999573694704,66.03773504458239,53.0
21,18.0,2200.0,110.0,25.0,2199.9829182582253,87.99931672997702,25.0
21,19.0,2700.0,100.0,29.0,2699.9195155279685,93.10067294891927,29.0
21,20.0,3100.0,90.0,15.0,1073.638701050723,71.57591340290436,15.0
21,21.0,2100.0,120.0,34.0,2099.931442051423,61.76268947191902,34.0
21,22.0,4850.0,60.0,44.0,3713.4018292945902,84.39549612013978,22.23907073508262
21,23.0,4100.0,70.0,43.0,4099.945881100782,95.34757863002899,23.17635841885544
21,24.0,2000.0,120.0,31.0,1999.9510545425205,64.51455014632481,31.0
21,25.0,4800.0,60.0,28.0,2022.8984761872557,72.24637414928682,19.312051917772543
21,26.0,3050.0,90.0,21.0,1645.378103529723,78.35133826294704,21.0
21,27.0,4250.0,70.0,8.0,679.8044134504203,84.97555168024034,5.428727987856277
21,28.0,2850.0,100.0,39.0,2849.964815856526,73.07602091921072,39.0
21,29.0,2250.0,110.0,37.0,2249.956549027781,60.809636460045944,37.0
21,30.0,2000.0,130.0,14.0,1177.6649879282613,84.11892770856068,14.0
21,31.0,3900.0,80.0,61.0,3899.9686877047984,63.933912913088605,61.0
21,32.0,2000.0,120.0,15.0,1999.94327436755,133.32955162361446,12.15068924590134
21,33.0,3250.0,90.0,46.0,3249.9960261051638,70.6520875238717,46.0
21,34.0,4450.0,70.0,41.0,3624.421841658408,88.4005327231602,25.70811135394593
21,35.0,3550.0,80.0,54.0,3549.979289365236,65.74035721034559,54.0
21,36.0,2700.0,100.0,39.0,2699.973144821435,69.23008063626953,39.0
21,37.0,2100.0,110.0,18.0,2099.9955531268447,116.6664196175099,16.001700422217976
21,38.0,4650.0,60.0,77.0,4649.994849335134,60.38954349778045,76.00982499513773
21,39.0,2000.0,130.0,24.0,1999.9554321201597,83.33147633799278,24.0
21,40.0,3400.0,90.0,17.0,1423.8778795549026,83.7575223262663,17.0
21,41.0,2650.0,100.0,40.0,2649.9433485011637,66.24858371236347,40.0
21,42.0,2300.0,110.0,37.0,2299.929961983641,62.160269242633106,37.0
21,43.0,4100.0,80.0,30.0,1565.3293635720242,52.17764545222688,30.0
21,44.0,4800.0,60.0,21.0,1487.0976148716964,70.81417213641024,15.075836917569198
21,45.0,4450.0,70.0,46.0,4383.227524491564,95.28755488004423,24.82455921475421
21,46.0,2000.0,130.0,30.0,1999.9883023378113,66.66627674437149,30.0
21,47.0,2050.0,120.0,19.0,2049.9700035360447,107.8931580802766,19.0
