Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,47.0,2899.9291431994225,61.700620067941536,47.0
21,1.0,4350.0,70.0,57.0,4116.521522953539,72.21967584116345,53.55004821326736
21,2.0,3000.0,90.0,44.0,2999.962678600722,68.18096996804327,44.0
21,3.0,2400.0,110.0,11.0,430.3865609240904,39.12605099274344,11.0
21,4.0,4800.0,60.0,63.0,4799.93328849462,76.18941727757144,39.07092977603366
21,5.0,2000.0,130.0,26.0,1589.2996643060583,61.126910165382526,26.0
21,6.0,2050.0,120.0,69.0,2049.979150458905,29.70984276023093,69.0
21,7.0,3500.0,80.0,45.0,3499.946631661122,77.77659181451875,45.0
21,8.0,4600.0,70.0,52.0,4599.949971078542,88.46057636672492,32.56116194318897
21,9.0,2000.0,130.0,32.0,1999.9651454563054,62.49891079531423,32.0
21,10.0,2800.0,100.0,23.0,1855.001439445235,80.65223649726826,23.0
21,11.0,2350.0,110.0,13.0,719.9767771596655,55.38282901185594,13.0
21,12.0,2050.0,120.0,12.0,632.29991726814,52.691659771905904,12.0
21,13.0,2900.0,90.0,37.0,2899.9902242497396,78.37811416870005,37.0
21,14.0,4750.0,60.0,57.0,4749.982817053291,83.33303187798171,29.549013784542574
21,15.0,3450.0,80.0,29.0,2531.6484102513205,87.29822104284796,24.353825187697872
21,16.0,2000.0,130.0,40.0,1763.2682067449255,44.08170516851293,40.0
21,17.0,3500.0,80.0,46.0,3499.9899177895772,76.08673734308627,46.0
21,18.0,2200.0,110.0,45.0,2199.9642077958424,48.88809350646564,45.0
21,19.0,2700.0,100.0,43.0,2438.2488874522596,56.70346249875789,43.0
21,20.0,3100.0,90.0,8.0,409.5412197222836,51.19265246464554,8.0
21,21.0,2100.0,120.0,44.0,2099.9408239899326,47.72592781784454,44.0
21,22.0,4850.0,60.0,57.0,4010.8802899663838,70.36632087647978,41.44266427214688
21,23.0,4100.0,70.0,48.0,4099.9546952768205,85.41572281808914,32.23752386281956
21,24.0,2000.0,120.0,25.0,1384.4442436555823,55.37776974600179,25.0
21,25.0,4800.0,60.0,14.0,991.4175156595957,70.81553683232244,10.050170577420454
21,26.0,3050.0,90.0,10.0,621.941067197839,62.19410671916195,10.0
21,27.0,4250.0,70.0,6.0,524.4117757300583,87.40196262021968,3.8486193642164546
21,28.0,2850.0,100.0,45.0,2849.9981101384583,63.33329133626944,45.0
21,29.0,2250.0,110.0,15.0,917.0394515818473,61.13596343838225,15.0
21,30.0,2000.0,130.0,2.0,142.07939014743283,71.03969507016443,2.0
21,31.0,3900.0,80.0,50.0,3594.3802043592223,71.88760408704067,50.0
21,32.0,2000.0,120.0,35.0,1999.9892384402729,57.14254966955881,35.0
21,33.0,3250.0,90.0,56.0,3249.95891220875,58.034980575052614,56.0
21,34.0,4450.0,70.0,57.0,4449.939566709579,78.06911520529424,45.82604962314301
21,35.0,3550.0,80.0,80.0,3549.9638813291203,44.374548516558534,80.0
21,36.0,2700.0,100.0,47.0,2699.986883341053,57.44652943266613,47.0
21,37.0,2100.0,110.0,23.0,1850.9591447498592,80.47648455399181,23.0
21,38.0,4650.0,60.0,77.0,4649.998119045523,60.38958596155174,76.00971810045918
21,39.0,2000.0,130.0,24.0,1999.9871632093605,83.33279846670948,24.0
21,40.0,3400.0,90.0,31.0,2978.8944231031455,96.09336848688827,27.1931724986151
21,41.0,2650.0,100.0,30.0,2649.992106431298,88.33307021408216,30.0
21,42.0,2300.0,110.0,36.0,2299.9956791868813,63.888768866124785,36.0
21,43.0,4100.0,80.0,24.0,1955.9730796042272,81.49887831650322,23.125330735327314
21,44.0,4800.0,60.0,37.0,3212.3002453292866,86.81892554920553,17.67158122461994
21,45.0,4450.0,70.0,53.0,4449.967872208922,83.96165796604765,36.839178571379385
21,46.0,2000.0,130.0,23.0,1334.083117972646,58.00361382464547,23.0
21,47.0,2050.0,120.0,30.0,2049.9769062772784,68.33256354234818,30.0
