Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,22.0,1288.3102480293567,58.559556728340944,22.0
21,1.0,4350.0,70.0,29.0,2116.910167784786,72.99690233715471,26.66767882069564
21,2.0,3000.0,90.0,31.0,1372.5956853390076,44.27728017208322,31.0
21,3.0,2400.0,110.0,5.0,684.4982395300922,136.89964790328045,3.228127743785221
21,4.0,4800.0,60.0,34.0,2773.2779441703015,81.56699835771013,18.397230785650017
21,5.0,2000.0,130.0,14.0,1340.353614872977,95.7395439188145,14.0
21,6.0,2050.0,120.0,33.0,1452.1187559130026,44.00359866389704,33.0
21,7.0,3500.0,80.0,44.0,2383.7360234512744,54.17581871467856,44.0
21,8.0,4600.0,70.0,45.0,3229.805686358556,71.7734596966973,42.80365271015612
21,9.0,2000.0,130.0,24.0,1165.2315174535916,48.55131322703069,24.0
21,10.0,2800.0,100.0,28.0,2076.8139701542327,74.17192750524342,28.0
21,11.0,2350.0,110.0,22.0,1193.7858806005804,54.26299457250701,22.0
21,12.0,2050.0,120.0,18.0,1400.2537732150047,77.79187628929031,18.0
21,13.0,2900.0,90.0,23.0,1978.101053721718,86.00439363970077,23.0
21,14.0,4750.0,60.0,65.0,3535.722528241379,54.395731203629836,65.0
21,15.0,3450.0,80.0,36.0,2707.5547478285125,75.20985410613865,36.0
21,16.0,2000.0,130.0,16.0,1272.2767474538487,79.51729671536857,16.0
21,17.0,3500.0,80.0,38.0,2491.9125362094064,65.57664568954866,38.0
21,18.0,2200.0,110.0,28.0,1490.5487572488948,53.23388418727041,28.0
21,19.0,2700.0,100.0,25.0,1519.3981857323472,60.77592742905079,25.0
21,20.0,3100.0,90.0,14.0,1735.3020389367061,123.95014563745079,7.3810640126388565
21,21.0,2100.0,120.0,47.0,1950.2308760294293,41.494273957984674,47.0
21,22.0,4850.0,60.0,51.0,2853.9936423069203,55.96065965296714,51.0
21,23.0,4100.0,70.0,48.0,2376.6685730385107,49.51392860486582,48.0
21,24.0,2000.0,120.0,26.0,1198.07229365671,46.079703602003924,26.0
21,25.0,4800.0,60.0,39.0,3116.8337521761187,79.91881415815709,21.98209322994834
21,26.0,3050.0,90.0,12.0,1618.7487158508745,134.89572631978209,5.341581796801762
21,27.0,4250.0,70.0,18.0,1703.2848999971584,94.62693888820533,9.850062875206678
21,28.0,2850.0,100.0,39.0,2415.180731020396,61.92771105164623,39.0
21,29.0,2250.0,110.0,21.0,1498.0131416551492,71.33395912609599,21.0
21,30.0,2000.0,130.0,5.0,583.1172196714183,116.62344393195119,5.0
21,31.0,3900.0,80.0,44.0,2840.0236982217166,64.54599314125595,44.0
21,32.0,2000.0,120.0,26.0,1675.5383364441604,64.44378217068139,26.0
21,33.0,3250.0,90.0,72.0,3019.6939520570595,41.94019377851202,72.0
21,34.0,4450.0,70.0,42.0,2875.2632771543667,68.45864945589335,42.0
21,35.0,3550.0,80.0,84.0,3088.913085783039,36.77277483070669,84.0
21,36.0,2700.0,100.0,51.0,2308.7839688681674,45.27027389928706,51.0
21,37.0,2100.0,110.0,28.0,1481.8996007288013,52.924985740125315,28.0
21,38.0,4650.0,60.0,98.0,4388.738686444409,44.78304782081562,98.0
21,39.0,2000.0,130.0,21.0,1600.5764319382686,76.21792533003081,21.0
21,40.0,3400.0,90.0,25.0,2534.5990898386917,101.38396359314214,19.70091946814501
21,41.0,2650.0,100.0,45.0,2196.535293275929,48.811895406023275,45.0
21,42.0,2300.0,110.0,44.0,1995.3372175737245,45.34857312657249,44.0
21,43.0,4100.0,80.0,38.0,3076.563612148224,80.96220031947703,37.10214048689633
21,44.0,4800.0,60.0,35.0,2086.190939477309,59.60545541346709,35.0
21,45.0,4450.0,70.0,37.0,3125.9992194064903,84.48646538913626,25.399403753864924
21,46.0,2000.0,130.0,16.0,1479.0075301720653,92.43797063517636,16.0
21,47.0,2050.0,120.0,35.0,1602.3639691285566,45.781827689256524,35.0
Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,43.0,2698.6707007905484,62.75978373916912,43.0
21,1.0,4350.0,70.0,42.0,3759.830018709683,89.5197623500174,25.680739722680705
21,2.0,3000.0,90.0,40.0,2171.864040694836,54.29660101723516,40.0
21,3.0,2400.0,110.0,13.0,1409.382996728515,108.41407667059028,13.0
21,4.0,4800.0,60.0,48.0,4799.936527828632,99.99867766288817,17.280457008736057
21,5.0,2000.0,130.0,19.0,1857.7005119127616,97.77371115278865,19.0
21,6.0,2050.0,120.0,45.0,1918.7632608904696,42.639183575249014,45.0
21,7.0,3500.0,80.0,50.0,3259.0386986208728,65.18077397228708,50.0
21,8.0,4600.0,70.0,71.0,4599.95066556783,64.78803754311761,71.0
21,9.0,2000.0,130.0,31.0,1906.4245838209815,61.497567219833286,31.0
21,10.0,2800.0,100.0,23.0,2799.9782536634866,121.73818494136144,15.51937371617978
21,11.0,2350.0,110.0,16.0,1831.8121866567005,114.48826166532824,14.77009981917538
