Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,40.0,2608.9510270891506,65.2237756770657,40.0
21,1.0,4350.0,70.0,35.0,2989.1632121884877,85.40466320514135,23.51261624137993
21,2.0,3000.0,90.0,51.0,2999.940492582184,58.82236259953533,51.0
21,3.0,2400.0,110.0,19.0,1817.9234351775278,95.68018079831369,19.0
21,4.0,4800.0,60.0,45.0,2866.348069680938,63.696623770545955,39.92842578494514
21,5.0,2000.0,130.0,19.0,1629.8281589769874,85.78042941938998,19.0
21,6.0,2050.0,120.0,50.0,2049.9465810896745,40.99893162171149,50.0
21,7.0,3500.0,80.0,56.0,3499.921861831286,62.498604675447076,56.0
21,8.0,4600.0,70.0,32.0,2323.006524647355,72.59395389500298,29.753986098974213
21,9.0,2000.0,130.0,28.0,1999.9406762393216,71.42645272257782,28.0
21,10.0,2800.0,100.0,9.0,757.4187552757885,84.15763947415253,9.0
21,11.0,2350.0,110.0,25.0,2037.0992321305691,81.48396928489683,25.0
21,12.0,2050.0,120.0,4.0,613.5247383266592,153.38118457783025,2.4483770971858947
21,13.0,2900.0,90.0,29.0,2301.1339147838034,79.34944533709891,29.0
21,14.0,4750.0,60.0,51.0,3631.6014072466187,71.20787073018623,36.209012235262826
21,15.0,3450.0,80.0,16.0,961.4249159570263,60.089057246938594,16.0
21,16.0,2000.0,130.0,26.0,1999.928694858576,76.92033441734169,26.0
21,17.0,3500.0,80.0,44.0,2905.082209118262,66.02459566162862,44.0
21,18.0,2200.0,110.0,29.0,2199.983305244596,75.86149328403484,29.0
21,19.0,2700.0,100.0,42.0,2699.976524686975,64.28515534953682,42.0
21,20.0,3100.0,90.0,10.0,891.8512884466522,89.18512884377337,10.0
21,21.0,2100.0,120.0,38.0,2099.9649995607892,55.262236830401655,38.0
21,22.0,4850.0,60.0,60.0,3797.276540757085,63.287942345845934,53.92768773816944
21,23.0,4100.0,70.0,60.0,3908.9184533071193,65.14864088834341,60.0
21,24.0,2000.0,120.0,24.0,1999.8197352695563,83.32582230255099,24.0
21,25.0,4800.0,60.0,8.0,448.71636403750017,56.0895455039864,8.0
21,26.0,3050.0,90.0,16.0,1127.4506182357293,70.46566363929267,16.0
21,27.0,4250.0,70.0,10.0,1256.0774619622666,125.60774619497059,3.1057266872755247
21,28.0,2850.0,100.0,53.0,2849.92898344242,53.772244970510236,53.0
21,29.0,2250.0,110.0,31.0,1494.6499077027484,48.21451315154603,31.0
21,30.0,2000.0,130.0,17.0,1458.4834376916056,85.7931433931192,17.0
21,31.0,3900.0,80.0,51.0,2670.75767312057,52.36779751206535,51.0
21,32.0,2000.0,120.0,45.0,1999.955891100343,44.44346424657552,45.0
21,33.0,3250.0,90.0,59.0,3249.973931907804,55.08430393054738,59.0
21,34.0,4450.0,70.0,33.0,3520.3592915268255,106.67755428836841,14.209013245167434
21,35.0,3550.0,80.0,58.0,3549.9988697993317,61.206877065400185,58.0
21,36.0,2700.0,100.0,51.0,2699.991040184446,52.9410007878265,51.0
21,37.0,2100.0,110.0,16.0,971.2843003869996,60.70526877380807,16.0
21,38.0,4650.0,60.0,85.0,4649.970429015214,54.70553445893816,85.0
21,39.0,2000.0,130.0,16.0,1598.927559414352,99.93297246277243,16.0
21,40.0,3400.0,90.0,19.0,957.982976583552,50.42015666202685,19.0
21,41.0,2650.0,100.0,20.0,1390.413491802311,69.52067458976795,20.0
21,42.0,2300.0,110.0,36.0,2299.979706337742,63.88832517587091,36.0
21,43.0,4100.0,80.0,20.0,807.0323466912037,40.35161733435843,20.0
21,44.0,4800.0,60.0,22.0,2307.609895785098,104.89135889884588,7.198562138474799
21,45.0,4450.0,70.0,30.0,2691.9217020667693,89.73072340192654,18.25723462407781
21,46.0,2000.0,130.0,14.0,906.2033492748471,64.72881066202673,14.0
21,47.0,2050.0,120.0,25.0,1526.995064230661,61.079802568982124,25.0
