Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,46.0,2885.0991978727816,62.71954777970673,46.0
21,1.0,4350.0,70.0,38.0,4039.4718383223876,106.30189048188835,16.477742067718008
21,2.0,3000.0,90.0,35.0,2999.999073120102,85.714259231758,35.0
21,3.0,2400.0,110.0,17.0,1605.6386510532664,94.44933241434245,17.0
21,4.0,4800.0,60.0,62.0,4661.8747024191925,75.19152745825279,39.4781120823902
21,5.0,2000.0,130.0,17.0,1528.1783050090598,89.8928414705924,17.0
21,6.0,2050.0,120.0,39.0,2049.9391637811195,52.56254266091957,39.0
21,7.0,3500.0,80.0,43.0,3499.930626500521,81.39373549982282,41.53999773275715
21,8.0,4600.0,70.0,58.0,4474.714538068113,77.15025065621376,47.74736294609807
21,9.0,2000.0,130.0,27.0,1999.981436443553,74.07338653467207,27.0
21,10.0,2800.0,100.0,16.0,928.0549878051279,58.00343673745798,16.0
21,11.0,2350.0,110.0,22.0,1151.1965741801314,52.327117007949944,22.0
21,12.0,2050.0,120.0,12.0,1114.8901039777243,92.90750866403613,12.0
21,13.0,2900.0,90.0,39.0,2899.983479756114,74.3585507627866,39.0
21,14.0,4750.0,60.0,71.0,4749.950179009287,66.90070674651545,57.108327055762
21,15.0,3450.0,80.0,28.0,1867.5981538157941,66.69993406461158,28.0
21,16.0,2000.0,130.0,24.0,1999.9991684074614,83.33329868329702,24.0
21,17.0,3500.0,80.0,53.0,3499.9652419626186,66.03708003690593,53.0
21,18.0,2200.0,110.0,39.0,2199.982053239904,56.409796236775975,39.0
21,19.0,2700.0,100.0,39.0,2699.9823555148078,69.23031680789448,39.0
21,20.0,3100.0,90.0,14.0,837.090727526755,59.792194822912556,14.0
21,21.0,2100.0,120.0,39.0,2099.9669122902355,53.845305443201305,39.0
21,22.0,4850.0,60.0,65.0,4849.915113171882,74.614078664068,42.031442596713894
21,23.0,4100.0,70.0,51.0,4099.942939520133,80.3910380296489,38.66793530307988
21,24.0,2000.0,120.0,30.0,1999.9719426820832,66.66573142251389,30.0
21,25.0,4800.0,60.0,49.0,3067.782861877743,62.60781350758127,45.00300426954433
21,26.0,3050.0,90.0,24.0,2604.3845931103347,108.51602471247847,16.50853401868677
21,27.0,4250.0,70.0,17.0,1240.147643671652,72.949861392021,15.652945001618768
21,28.0,2850.0,100.0,36.0,2849.9683203382992,79.16578667584396,36.0
21,29.0,2250.0,110.0,22.0,2037.5608530628654,92.61640241152745,22.0
21,30.0,2000.0,130.0,9.0,665.1139244151034,73.90154715641258,9.0
21,31.0,3900.0,80.0,57.0,3899.9445144387446,68.4200792005597,57.0
21,32.0,2000.0,120.0,26.0,1999.997560201568,76.92298308437984,26.0
21,33.0,3250.0,90.0,50.0,3249.983176490213,64.99966352967425,50.0
21,34.0,4450.0,70.0,51.0,4449.988751109763,87.25468139413799,32.82379427623333
21,35.0,3550.0,80.0,79.0,3549.9973817683012,44.93667571852921,79.0
21,36.0,2700.0,100.0,41.0,2699.9727337072395,65.852993504894,41.0
21,37.0,2100.0,110.0,11.0,1002.769987324519,91.1609079377639,11.0
21,38.0,4650.0,60.0,84.0,4649.977375868714,55.3568735221807,84.0
21,39.0,2000.0,130.0,32.0,1922.1626106660015,60.067581583124834,32.0
21,40.0,3400.0,90.0,9.0,652.4618059543054,72.49575621633954,9.0
21,41.0,2650.0,100.0,29.0,2360.626504576128,81.40091395062028,29.0
21,42.0,2300.0,110.0,41.0,2299.960666464944,56.096601620959376,41.0
21,43.0,4100.0,80.0,14.0,1638.160337497929,117.01145267758771,6.5441201972383585
21,44.0,4800.0,60.0,27.0,2278.7371052569533,84.39767056475976,13.645999310850902
21,45.0,4450.0,70.0,56.0,4449.984155127145,79.46400276998568,43.45534796291991
21,46.0,2000.0,130.0,18.0,1021.780121621705,56.765562312001585,18.0
21,47.0,2050.0,120.0,22.0,1941.8555908083204,88.26616321815881,22.0
21,0.0,2900.0,100.0,37.0,2899.946248890035,78.37692564546478,37.0
21,1.0,4350.0,70.0,48.0,4349.969971351464,90.6243744029667,28.638302640248526
21,2.0,3000.0,90.0,36.0,2999.983774496613,83.33288262467444,36.0
21,3.0,2400.0,110.0,25.0,2399.9632933878847,95.99853173513141,25.0
21,4.0,4800.0,60.0,92.0,4662.283069101946,50.676989881487806,92.0
21,5.0,2000.0,130.0,27.0,1999.9470573242272,74.0721132339563,27.0
21,6.0,2050.0,120.0,18.0,2049.9783745625314,113.88768747506349,18.0
21,7.0,3500.0,80.0,46.0,3499.9963879735965,76.08687799926061,46.0
21,8.0,4600.0,70.0,56.0,3883.721650405893,69.35217232855281,56.0
21,9.0,2000.0,130.0,37.0,1999.9977233511772,54.05399252285869,37.0
21,10.0,2800.0,100.0,17.0,1648.1693264686332,96.95113685052578,17.0
21,11.0,2350.0,110.0,27.0,2349.898267770981,87.03326917638066,27.0
21,12.0,2050.0,120.0,7.0,553.7202986774064,79.10289980992802,7.0
21,13.0,2900.0,90.0,29.0,2138.2554322092137,73.7329459379945,29.0
21,14.0,4750.0,60.0,66.0,4749.95203986803,71.96897030092171,45.872864290157736
21,15.0,3450.0,80.0,18.0,1361.497879976197,75.63877110936852,18.0
21,16.0,2000.0,130.0,20.0,1999.965451077662,99.99827255338312,20.0
21,17.0,3500.0,80.0,56.0,3499.999867934451,62.499997641575014,56.0
21,18.0,2200.0,110.0,29.0,2199.9900280879892,75.8617251062208,29.0
21,19.0,2700.0,100.0,31.0,2699.9501765638806,87.09516698565069,31.0
21,20.0,3100.0,90.0,28.0,2428.8070223740933,86.74310794162211,28.0
21,21.0,2100.0,120.0,38.0,2099.9830763391296,55.26271253509482,38.0
21,22.0,4850.0,60.0,72.0,4849.966688976015,67.36064845790665,57.12450878233238
21,23.0,4100.0,70.0,39.0,4099.915071679577,105.12602747869394,17.2917990539269
21,24.0,2000.0,120.0,34.0,1581.6547233950594,46.5192565703061,34.0
21,25.0,4800.0,60.0,20.0,1319.849187479167,65.99245937362839,16.53270318996492
21,26.0,3050.0,90.0,28.0,2478.5697042015518,88.52034657831071,28.0
21,27.0,4250.0,70.0,40.0,3097.3453455843623,77.43363363941548,32.688635507533434
21,28.0,2850.0,100.0,37.0,2849.9648157174724,77.02607610026405,37.0
21,29.0,2250.0,110.0,25.0,1118.5200254366816,44.740801017288305,25.0
21,30.0,2000.0,130.0,22.0,1991.2423384917174,90.51101538557575,22.0
21,31.0,3900.0,80.0,60.0,3861.946142873575,64.36576904778563,60.0
21,32.0,2000.0,120.0,31.0,1999.9973274790525,64.5160428216968,31.0
21,33.0,3250.0,90.0,59.0,3249.9933780181996,55.08463352563883,59.0
21,34.0,4450.0,70.0,56.0,4449.946607428302,79.46333227536348,43.45608129989948
21,35.0,3550.0,80.0,45.0,3549.9903085793026,78.88867352380919,45.0
21,36.0,2700.0,100.0,37.0,2699.9826584533216,72.97250428232498,37.0
21,37.0,2100.0,110.0,20.0,1188.959953496383,59.447997674521915,20.0
21,38.0,4650.0,60.0,74.0,4649.994092804075,62.83775801078096,67.46722656671133
21,39.0,2000.0,130.0,24.0,1999.9324004495643,83.33051668505131,24.0
21,40.0,3400.0,90.0,10.0,1629.335379617225,162.93353796009316,3.051153401292109
21,41.0,2650.0,100.0,35.0,1766.043890226469,50.45839686346923,35.0
21,42.0,2300.0,110.0,40.0,2299.9655542513065,57.49913885613891,40.0
21,43.0,4100.0,80.0,18.0,1891.4295042710655,105.07941690336432,10.433191304363039
21,44.0,4800.0,60.0,45.0,3832.4962186621565,85.16658263674755,22.33451736290872
21,45.0,4450.0,70.0,58.0,4449.974987777207,76.72370668568163,48.27973980379823
21,46.0,2000.0,130.0,18.0,894.914198599236,49.71745547745913,18.0
21,47.0,2050.0,120.0,29.0,1316.242282546044,45.38766491522432,29.0
21,0.0,2900.0,100.0,47.0,2899.9299508274244,61.70063725151605,47.0
21,1.0,4350.0,70.0,33.0,2742.2079765038907,83.097211408957,23.417316196048752
21,2.0,3000.0,90.0,41.0,2999.966826396124,73.16992259484894,41.0
21,3.0,2400.0,110.0,18.0,1586.4930607185097,88.1385033727609,18.0
21,4.0,4800.0,60.0,44.0,2978.498695807095,67.69315217728013,34.567319334149154
21,5.0,2000.0,130.0,13.0,1308.4018813798916,100.64629856690976,13.0
21,6.0,2050.0,120.0,43.0,2049.985329901509,47.674077439459104,43.0
