Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,28.0,1732.9664930992506,61.89166046760934,28.0
21,1.0,4350.0,70.0,14.0,793.9240096664394,56.70885783291203,14.0
21,2.0,3000.0,90.0,45.0,2992.028158571606,66.48951463477682,45.0
21,3.0,2400.0,110.0,2.0,247.70878122462545,123.85439060612,1.5775842156650701
21,4.0,4800.0,60.0,12.0,1248.4541378203235,104.03784481749331,3.991177592734383
21,5.0,2000.0,130.0,7.0,545.2568782393785,77.89383974736987,7.0
21,6.0,2050.0,120.0,45.0,2049.9529176414185,45.554509280819175,45.0
21,7.0,3500.0,80.0,64.0,3043.9622397613916,47.56190999619743,64.0
21,8.0,4600.0,70.0,22.0,1545.502213302832,70.25010060435487,21.843632424443054
21,9.0,2000.0,130.0,31.0,1999.9643108837113,64.5149777702342,31.0
21,10.0,2800.0,100.0,4.0,313.39540489301226,78.34885122129434,4.0
21,11.0,2350.0,110.0,6.0,360.09394524591085,60.01565753998488,6.0
21,12.0,2050.0,120.0,11.0,926.3236461441231,84.21124055779109,11.0
21,13.0,2900.0,90.0,27.0,1631.845376668852,60.43871765417808,27.0
21,14.0,4750.0,60.0,60.0,3699.8209133437613,61.663681888959914,56.80608326832227
21,15.0,3450.0,80.0,9.0,861.1497396192553,95.68330440107634,6.291441360292259
21,16.0,2000.0,130.0,31.0,1999.943257335461,64.51429862351644,31.0
21,17.0,3500.0,80.0,43.0,3273.0944118701564,76.11847469447778,43.0
21,18.0,2200.0,110.0,30.0,2199.924930725709,73.33083102394588,30.0
21,19.0,2700.0,100.0,31.0,1877.2953166335506,60.55791343959661,31.0
21,20.0,3100.0,90.0,0.0,199.11230602349815,1991123060234.9814,0.0
21,21.0,2100.0,120.0,43.0,2099.935856932321,48.835717602963655,43.0
21,22.0,4850.0,60.0,24.0,1378.6050468015383,57.44187694982476,24.0
21,23.0,4100.0,70.0,29.0,1907.6499293023871,65.78103204468307,29.0
21,24.0,2000.0,120.0,27.0,1999.9951660713689,74.07389503940598,27.0
21,25.0,4800.0,60.0,3.0,443.2557840880272,147.75192802441734,0.49471769226653944
21,26.0,3050.0,90.0,6.0,784.6721735138822,130.7786955834674,2.841595567566884
21,27.0,4250.0,70.0,0.0,103.42879005064242,1034287900506.4242,0.0
21,28.0,2850.0,100.0,48.0,2849.9512090065737,59.373983520846586,48.0
21,29.0,2250.0,110.0,38.0,2249.9901793688105,59.21026787797077,38.0
21,30.0,2000.0,130.0,2.0,182.21919892728897,91.10959945908901,2.0
21,31.0,3900.0,80.0,73.0,3899.9534482548506,53.42401983903436,73.0
21,32.0,2000.0,120.0,39.0,1999.977000979409,51.281461563443095,39.0
21,33.0,3250.0,90.0,54.0,3249.9792379231203,60.18480070216855,54.0
21,34.0,4450.0,70.0,15.0,1308.1857088916613,87.212380592196,9.663424465982128
21,35.0,3550.0,80.0,58.0,3549.997495820771,61.20685337611466,58.0
21,36.0,2700.0,100.0,38.0,2699.951177842529,71.05134678514273,38.0
21,37.0,2100.0,110.0,14.0,828.6602506855181,59.19001790568565,14.0
21,38.0,4650.0,60.0,94.0,4649.98666180324,49.46794321062014,94.0
21,39.0,2000.0,130.0,16.0,1539.4570210584907,96.21606381555432,16.0
21,40.0,3400.0,90.0,2.0,217.4953907406025,108.74769536486386,1.3698559191757906
21,41.0,2650.0,100.0,20.0,1576.3769537158166,78.81884768539675,20.0
21,42.0,2300.0,110.0,42.0,2299.991418010986,54.76170042870261,42.0
21,43.0,4100.0,80.0,8.0,625.3441928980328,78.168024111277,8.0
21,44.0,4800.0,60.0,5.0,447.68952814317527,89.53790562684429,2.2452186541843244
21,45.0,4450.0,70.0,23.0,1247.7003132268737,54.24783970528039,23.0
21,46.0,2000.0,130.0,20.0,991.2425645103714,49.56212822527076,20.0
21,47.0,2050.0,120.0,30.0,1829.3337472429166,60.977791574560634,30.0
Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,19.0,1232.1698297098474,64.85104366859802,19.0
21,1.0,4350.0,70.0,18.0,1194.4211973746665,66.35673318711282,18.0
21,2.0,3000.0,90.0,35.0,2999.972501594919,85.71350004532421,35.0
21,3.0,2400.0,110.0,14.0,682.2603420095734,48.732881571764295,14.0
21,4.0,4800.0,60.0,18.0,1015.3621874057371,56.40901041111646,18.0
21,5.0,2000.0,130.0,4.0,474.7346733659888,118.6836683385301,4.0
21,6.0,2050.0,120.0,54.0,2049.971437940593,37.96243403586661,54.0
21,7.0,3500.0,80.0,41.0,2003.6024669342924,48.86835285193672,41.0
21,8.0,4600.0,70.0,12.0,1117.7403554739994,93.14502962205708,6.7773194360391
21,9.0,2000.0,130.0,17.0,1448.191720279121,85.1877482512119,17.0
21,10.0,2800.0,100.0,2.0,381.38189880508025,190.69094939300558,0.5500090476696198
21,11.0,2350.0,110.0,5.0,251.72134829159768,50.34426965731265,5.0
21,12.0,2050.0,120.0,7.0,727.060388663343,103.8657698075652,7.0
21,13.0,2900.0,90.0,14.0,817.5696580989647,58.397832720937494,14.0
21,14.0,4750.0,60.0,48.0,1850.0344023476655,38.54238338216273,48.0
21,15.0,3450.0,80.0,13.0,682.9096506576734,52.53151158864771,13.0
21,16.0,2000.0,130.0,20.0,1339.5530067629595,66.97765033781309,20.0
21,17.0,3500.0,80.0,35.0,2586.996083054041,73.91417380133284,35.0
21,18.0,2200.0,110.0,31.0,2199.9322727277727,70.96555718453794,31.0
21,19.0,2700.0,100.0,17.0,1233.927272880617,72.58395722784464,17.0
21,20.0,3100.0,90.0,5.0,279.5903004092943,55.918060080740496,5.0
21,21.0,2100.0,120.0,36.0,2099.976458986044,58.33267941611695,36.0
21,22.0,4850.0,60.0,21.0,1347.2409243736652,64.1543297317738,18.368337546673565
21,23.0,4100.0,70.0,33.0,2356.4317000160513,71.40702121239123,31.712332526707968
21,24.0,2000.0,120.0,9.0,652.9445823110552,72.5493980337556,9.0
21,25.0,4800.0,60.0,2.0,59.86709618179157,29.933548089399107,2.0
21,26.0,3050.0,90.0,1.0,83.79890847390243,83.79890846552254,1.0
21,27.0,4250.0,70.0,0.0,41.51429601617019,415142960161.7019,0.0
21,28.0,2850.0,100.0,46.0,2678.471394435495,58.2276390093407,46.0
21,29.0,2250.0,110.0,5.0,320.59613150962923,64.11922630064346,5.0
21,30.0,2000.0,130.0,1.0,1.705390092986363,1.705390092815824,1.0
21,31.0,3900.0,80.0,34.0,2248.9638832716946,66.14599656662,34.0
21,32.0,2000.0,120.0,20.0,1163.3499480899475,58.16749740420654,20.0
21,33.0,3250.0,90.0,82.0,3249.986400466582,39.633980493446565,82.0
21,34.0,4450.0,70.0,37.0,1932.3421393544531,52.22546322565488,37.0
21,35.0,3550.0,80.0,70.0,3549.9675624736797,50.713822320980114,70.0
21,36.0,2700.0,100.0,42.0,2699.97227332546,64.2850541266436,42.0
21,37.0,2100.0,110.0,18.0,795.286312593284,44.18257292160366,18.0
21,38.0,4650.0,60.0,52.0,2769.205795321897,53.253957602241755,52.0
21,39.0,2000.0,130.0,16.0,672.1058631628866,42.006616447417876,16.0
21,40.0,3400.0,90.0,3.0,320.1016402753239,106.70054675488463,2.134386099865567
21,41.0,2650.0,100.0,17.0,1043.2106478268502,61.36533222474787,17.0
21,42.0,2300.0,110.0,21.0,1045.6861915960294,49.794580551954766,21.0
21,43.0,4100.0,80.0,7.0,626.8719291811744,89.55313273888845,5.586199584850094
21,44.0,4800.0,60.0,12.0,711.1961478181074,59.266345651015065,12.0
21,45.0,4450.0,70.0,8.0,606.4907695425327,75.81134619186895,6.820522563033896
21,46.0,2000.0,130.0,22.0,974.4434004144264,44.292881836818054,22.0
21,47.0,2050.0,120.0,9.0,906.803110826494,100.75590120182427,9.0
Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,37.0,2439.106020105809,65.92178432700585,37.0
21,1.0,4350.0,70.0,13.0,762.3745793138,58.64419840830274,13.0
21,2.0,3000.0,90.0,33.0,2999.9597223713763,90.9078703746147,32.34416849189914
21,3.0,2400.0,110.0,11.0,419.7266739378233,38.15697035763706,11.0
21,4.0,4800.0,60.0,38.0,2664.9983350577,70.1315351329128,27.81374102108838
21,5.0,2000.0,130.0,16.0,1015.2216089437972,63.45135055859076,16.0
21,6.0,2050.0,120.0,40.0,2049.9792179756155,51.24948044926226,40.0
21,7.0,3500.0,80.0,53.0,3499.972890740256,66.03722435346513,53.0
21,8.0,4600.0,70.0,21.0,874.1950632477528,41.62833634493286,21.0
21,9.0,2000.0,130.0,27.0,1338.6291492984233,49.57885738123946,27.0
21,10.0,2800.0,100.0,2.0,293.3129033292821,146.65645165730822,0.9298815900011709
21,11.0,2350.0,110.0,10.0,941.1945150548511,94.11945150454392,10.0
21,12.0,2050.0,120.0,9.0,782.8380674107125,86.9820074891127,9.0
21,13.0,2900.0,90.0,15.0,1369.8830160699392,91.32553440405378,14.567728318954332
21,14.0,4750.0,60.0,58.0,2368.049312346858,40.828436419703024,58.0
21,15.0,3450.0,80.0,8.0,611.2941850816628,76.4117731342527,8.0
21,16.0,2000.0,130.0,20.0,1999.9355733849789,99.99677866874897,20.0
21,17.0,3500.0,80.0,26.0,2452.453535421784,94.32513597739815,18.702447403712107
21,18.0,2200.0,110.0,27.0,2199.9902244667396,81.48111942439229,27.0
21,19.0,2700.0,100.0,40.0,2609.5701420725263,65.23925355165005,40.0
21,20.0,3100.0,90.0,3.0,245.94613837886345,81.98204612355508,3.0
21,21.0,2100.0,120.0,31.0,2099.9738990144933,67.74109351637804,31.0
21,22.0,4850.0,60.0,27.0,2097.1351173052203,77.67167101101678,16.11168520020693
21,23.0,4100.0,70.0,53.0,3628.1470554993884,68.45560482061401,53.0
21,24.0,2000.0,120.0,27.0,1970.5247992405277,72.9823999716011,27.0
21,25.0,4800.0,60.0,7.0,413.6939761631711,59.09913945103731,7.0
21,26.0,3050.0,90.0,6.0,611.2431931342185,101.87386552067184,4.682854869869173
