Day,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,39.0,2846.814501725099,72.99524363378973,39.0
21,1.0,4350.0,70.0,37.0,2846.9077011309873,76.94345138171062,30.623475496426522
21,2.0,3000.0,90.0,38.0,2798.1404759013562,73.63527568142085,38.0
21,3.0,2400.0,110.0,11.0,1311.0045144853539,119.18222858849416,9.370333569915163
21,4.0,4800.0,60.0,47.0,4799.970236870773,102.12702631618212,16.222544930122353
21,5.0,2000.0,130.0,22.0,1999.985286529601,90.90842211456865,22.0
21,6.0,2050.0,120.0,24.0,2049.968873602485,85.41536973308098,24.0
21,7.0,3500.0,80.0,56.0,3499.936706555581,62.49886975980949,56.0
21,8.0,4600.0,70.0,43.0,2873.970815161545,66.83653058499678,43.0
21,9.0,2000.0,130.0,31.0,1999.9547293938256,64.5146686899153,31.0
21,10.0,2800.0,100.0,17.0,1959.1332774784046,115.24313396864002,12.800260292179187
21,11.0,2350.0,110.0,18.0,1368.2529515200438,76.01405286180236,18.0
21,12.0,2050.0,120.0,9.0,1164.776572824093,129.419619201239,7.737573122318377
21,13.0,2900.0,90.0,36.0,2557.5105433233653,71.0419595365628,36.0
21,14.0,4750.0,60.0,73.0,4686.661797150662,64.20084653622249,63.75934570108194
21,15.0,3450.0,80.0,16.0,1600.9889956833774,100.06181222958571,10.227352583043686
21,16.0,2000.0,130.0,18.0,1380.6287753130555,76.70159862807697,18.0
21,17.0,3500.0,80.0,36.0,2028.7051997888314,56.352922216199886,36.0
21,18.0,2200.0,110.0,28.0,1898.308845687308,67.79674448859029,28.0
21,19.0,2700.0,100.0,30.0,2012.366357952242,67.07887859818447,30.0
21,20.0,3100.0,90.0,12.0,1026.4537197194472,85.53780997590779,12.0
21,21.0,2100.0,120.0,41.0,2085.601532286011,50.8683300556323,41.0
21,22.0,4850.0,60.0,52.0,3446.7836442316107,66.28430085048042,42.60734617744179
21,23.0,4100.0,70.0,48.0,3148.495908177719,65.59366475356582,48.0
21,24.0,2000.0,120.0,20.0,1302.8028681144947,65.14014340539904,20.0
21,25.0,4800.0,60.0,17.0,1425.9472828430212,83.87925193144902,8.698459083609594
21,26.0,3050.0,90.0,17.0,1548.7638925861079,91.10375838688222,16.590571741806713
21,27.0,4250.0,70.0,12.0,1089.093234741903,90.75776956106893,7.138544934721434
21,28.0,2850.0,100.0,33.0,1986.01731025742,60.18234273489096,33.0
21,29.0,2250.0,110.0,19.0,1256.2156611880719,66.11661374639264,19.0
21,30.0,2000.0,130.0,14.0,993.7998860500661,70.98570614592626,14.0
21,31.0,3900.0,80.0,42.0,2433.088104253181,57.93066914874733,42.0
21,32.0,2000.0,120.0,35.0,1999.9510992878072,57.14145997948837,35.0
21,33.0,3250.0,90.0,41.0,3249.990273976905,79.268055462658,41.0
21,34.0,4450.0,70.0,36.0,2372.500585923167,65.90279405323824,36.0
21,35.0,3550.0,80.0,56.0,3549.994809172683,63.39276444939899,56.0
21,36.0,2700.0,100.0,42.0,2345.487186438269,55.84493301030201,42.0
21,37.0,2100.0,110.0,22.0,2099.993913736562,95.45426880577348,22.0
21,38.0,4650.0,60.0,62.0,4649.958304376295,74.99932748981928,39.68071161490476
21,39.0,2000.0,130.0,16.0,1999.995355761053,124.99970973428458,16.0
21,40.0,3400.0,90.0,20.0,1204.8819074419457,60.24409537179607,20.0
21,41.0,2650.0,100.0,41.0,2649.9981900866364,64.63410219707738,41.0
21,42.0,2300.0,110.0,25.0,2299.926650776071,91.99706603067484,25.0
21,43.0,4100.0,80.0,36.0,3517.756140458744,97.71544834580479,24.1299274802997
21,44.0,4800.0,60.0,26.0,1699.139460479922,65.35151771051488,21.916161532660446
21,45.0,4450.0,70.0,64.0,4449.9425573991375,69.53035245925288,64.0
21,46.0,2000.0,130.0,30.0,1999.9973547246605,66.6665784905998,30.0
21,47.0,2050.0,120.0,29.0,2049.999841409624,70.68964970353639,29.0
