ay,Id,Budget,CPAconstraint,Total-Reward,Total-Cost,CPA-Real,Score
21,0.0,2900.0,100.0,38.0,2421.3000652463056,63.718422769471935,38.0
21,1.0,4350.0,70.0,32.0,2567.544370977088,80.23576159278326,24.35623186737774
21,2.0,3000.0,90.0,45.0,2999.974791077161,66.66610646823321,45.0
21,3.0,2400.0,110.0,20.0,1142.234458257217,57.1117229125753,20.0
21,4.0,4800.0,60.0,60.0,4601.571137611522,76.69285229339755,36.72349200765691
21,5.0,2000.0,130.0,17.0,979.6373958733808,57.62572916868343,17.0
21,6.0,2050.0,120.0,49.0,2049.941391550889,41.835538602993985,49.0
21,7.0,3500.0,80.0,71.0,3400.077116361609,47.88841008953268,71.0
21,8.0,4600.0,70.0,39.0,2712.2086124277876,69.54381057489316,39.0
21,9.0,2000.0,130.0,40.0,1999.980860996159,49.99952152477897,40.0
21,10.0,2800.0,100.0,6.0,670.6843682501376,111.78072803982658,4.801947223736833
21,11.0,2350.0,110.0,15.0,751.7729917601387,50.11819945034179,15.0
21,12.0,2050.0,120.0,18.0,1530.743629204163,85.04131273309217,18.0
21,13.0,2900.0,90.0,20.0,1930.009455018751,96.50047275045506,17.396269724884053
21,14.0,4750.0,60.0,50.0,4749.976775375257,94.99953550731513,19.944793373444465
21,15.0,3450.0,80.0,18.0,1348.0382825220195,74.8910156952517,18.0
21,16.0,2000.0,130.0,31.0,1921.69405721992,61.99013087786197,31.0
21,17.0,3500.0,80.0,54.0,3125.044756932486,57.871199202346276,54.0
21,18.0,2200.0,110.0,33.0,1993.8521544959424,60.4197622572697,33.0
21,19.0,2700.0,100.0,31.0,1687.099454359282,54.42256304367225,31.0
21,20.0,3100.0,90.0,8.0,533.3897024918447,66.67371281064716,8.0
21,21.0,2100.0,120.0,37.0,2099.9731840477225,56.7560320011364,37.0
21,22.0,4850.0,60.0,74.0,4849.941885407929,65.53975520812668,62.018975899782745
21,23.0,4100.0,70.0,56.0,3691.531468566595,65.92020479571434,56.0
21,24.0,2000.0,120.0,17.0,1653.1800740834449,97.24588671021885,17.0
21,25.0,4800.0,60.0,26.0,1780.2055761250967,68.46944523531731,19.965593774980608
21,26.0,3050.0,90.0,18.0,1478.825530272912,82.15697390359425,18.0
21,27.0,4250.0,70.0,23.0,1962.280210020694,85.31653087009403,15.483086504944193
21,28.0,2850.0,100.0,58.0,2849.9813370173883,49.13760925883577,58.0
21,29.0,2250.0,110.0,43.0,1754.4301201714807,40.800700469009314,43.0
21,30.0,2000.0,130.0,14.0,755.7165154781583,53.97975110519717,14.0
21,31.0,3900.0,80.0,68.0,3828.1305867548813,56.29603804043017,68.0
21,32.0,2000.0,120.0,34.0,1999.989747126296,58.82322785648275,34.0
21,33.0,3250.0,90.0,68.0,3249.9619118160817,47.793557526636796,68.0
21,34.0,4450.0,70.0,55.0,4449.927950742774,80.90778092244878,41.16974621431558
21,35.0,3550.0,80.0,59.0,3549.9886047236946,60.16929838504538,59.0
21,36.0,2700.0,100.0,47.0,2699.9867420557316,57.44652642659546,47.0
21,37.0,2100.0,110.0,17.0,1125.7784557291343,66.22226210132425,17.0
21,38.0,4650.0,60.0,64.0,4649.996921379981,72.65620189644868,43.64526070596137
21,39.0,2000.0,130.0,15.0,1360.7685160689107,90.71790107065593,15.0
21,40.0,3400.0,90.0,37.0,3399.9703163238996,91.89108963012731,35.4927737154709
21,41.0,2650.0,100.0,25.0,1486.6649596961333,59.46659838760747,25.0
21,42.0,2300.0,110.0,45.0,2299.997951444462,51.111065587541134,45.0
21,43.0,4100.0,80.0,18.0,1065.3638504898172,59.18688058243881,18.0
21,44.0,4800.0,60.0,33.0,3439.7727128160786,104.23553675168651,10.934144938974171
21,45.0,4450.0,70.0,61.0,4449.985805513744,72.95058697551555,56.165332428119186
21,46.0,2000.0,130.0,24.0,1010.8424589166093,42.11843578801656,24.0
21,47.0,2050.0,120.0,30.0,1330.193274639667,44.339775821174435,30.0
